,자치구별,2018.01,2018.02,2018.03,2018.04,2018.05,2018.06,2018.07,2018.08,2018.09,2018.10,2018.11,2018.12,2019.01,2019.02,2019.03,2019.04,2019.05,2019.06,2019.07,2019.08,2019.09,2019.10,2019.11,2019.12,2020.01,2020.02,2020.03,2020.04,2020.05,2020.06,2020.07,2020.08,2020.09,2020.10,2020.11,2020.12,2021.01,2021.02,2021.03,2021.04,2021.05,2021.06,2021.07,2021.08,2021.09,2021.10,2021.11,2021.12,2022.01,2022.02,2022.03,2022.04,2022.05,2022.06,2022.07,2022.08,2022.09,2022.10,2022.11,2022.12
10,노원구구,4.5,4.5,4.5,4.6,4.6,4.6,4.6,4.6,4.6,4.5,4.5,4.5,4.5,4.4,4.5,4.5,4.6,4.6,4.6,4.6,4.6,4.5,4.5,4.4,4.5,4.5,4.5,4.4,4.4,4.5,4.4,4.4,4.4,4.4,4.4,4.4,4.3,4.3,4.3,4.3,4.2,4.3,4.2,4.2,4.3,4.3,4.3,4.3,4.4,4.4,4.4,4.5,4.4,4.4,4.5,4.5,4.5,4.5,4.6,4.7
11,은평구구,4.5,4.4,4.4,4.4,4.4,4.2,4.3,4.2,4.2,4.2,4.2,4.4,4.3,4.4,4.4,4.4,4.4,4.4,4.2,4.2,4.1,4.2,4.2,4.5,4.4,4.5,4.6,4.7,4.8,4.5,4.7,4.6,4.7,4.6,4.7,4.8,4.5,4.9,4.7,4.8,4.8,4.6,4.6,4.4,4.4,4.4,4.5,4.8,4.7,4.5,4.4,4.4,4.4,4.3,4.6,4.7,4.6,4.7,4.7,4.7
12,서대문구구,4.0,3.9,3.8,3.9,3.9,3.9,3.9,3.9,3.9,3.8,3.9,3.9,3.8,3.9,3.9,4.1,4.1,4.1,4.1,4.1,4.0,3.9,3.9,3.7,3.8,3.8,3.8,3.9,3.9,3.9,3.9,3.8,3.8,3.8,3.8,3.8,4.0,4.0,4.0,4.1,4.0,3.9,3.9,3.8,3.7,3.7,3.8,3.9,4.0,4.0,4.1,4.1,4.2,4.4,4.4,4.4,4.4,4.5,4.5,4.7
13,마포구구,3.9,3.9,3.9,3.9,3.9,3.9,4.0,3.9,3.8,3.9,3.9,3.9,3.9,3.9,3.9,4.0,4.0,4.0,4.0,3.9,4.0,3.9,3.8,3.8,3.8,3.8,3.8,3.9,3.9,3.9,3.8,3.8,3.8,3.8,3.7,3.8,3.9,3.9,4.0,4.1,4.0,3.9,4.0,4.0,4.1,4.2,4.4,4.4,4.3,4.3,4.4,4.3,4.2,4.2,4.2,4.2,4.2,4.2,4.3,4.4
14,양천구구,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.7,3.7,3.7,3.7,3.7,3.8,3.8,3.8,3.9,3.9,3.8,3.8,3.8,3.8,3.8,3.7,3.7,3.7,3.6,3.7,3.7,3.8,3.9,3.9,3.9,4.0,3.9,4.0,4.1,4.1,3.9,4.1,4.2,4.4,4.4,4.5,4.5,4.5,4.5,4.3,4.3,4.0,4.0,4.0,4.2,4.3,4.3,4.6,4.7,4.7
15,강서구구,4.1,4.1,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.1,4.2,4.2,4.2,4.2,4.2,4.2,4.1,4.1,4.2,4.1,4.0,4.0,4.0,3.9,3.9,3.9,4.0,4.0,4.0,4.0,4.0,4.2,4.2,4.2,3.8,3.2,2.9,2.9,2.6,2.4,3.3,3.6,3.8,3.9,4.0,3.9,4.0,4.1,4.1,3.9,4.1,4.1,4.2,4.3,4.3
16,구로구구,4.2,4.2,4.3,4.3,4.3,4.2,4.2,4.1,4.1,4.1,4.0,4.0,4.0,4.0,4.0,4.1,4.1,4.1,4.1,4.1,4.2,4.1,4.1,4.3,4.2,4.2,4.2,4.2,4.2,4.1,4.0,4.0,4.0,4.0,3.9,4.0,4.1,4.1,4.1,4.1,4.1,3.9,3.8,4.0,4.1,4.2,4.1,4.2,4.2,4.2,4.2,4.2,4.4,4.4,4.3,4.3,4.4,4.3,4.4,4.4
17,금천구구,4.7,4.7,4.6,4.5,4.5,4.5,4.4,4.4,4.5,4.6,4.6,4.6,4.6,4.7,4.6,4.6,4.6,4.7,4.5,4.5,4.4,4.4,4.5,4.5,4.6,4.5,4.5,4.5,4.5,4.5,4.4,4.3,4.3,4.5,4.5,4.5,4.5,4.5,4.4,4.3,4.2,3.9,3.8,3.9,3.9,3.9,4.0,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.4,4.4,4.6,4.7,4.7,4.8
18,영등포구구,4.0,4.0,4.0,4.1,4.1,4.1,4.1,4.0,4.1,4.0,4.0,4.0,4.1,4.2,4.1,4.2,4.1,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.9,3.9,3.9,3.8,3.8,3.8,3.8,3.8,3.8,3.7,3.7,3.8,3.8,3.8,3.7,3.8,3.9,3.8,3.8,3.9,3.9,3.9,3.9,4.0,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.2,4.3
19,동작구구,3.8,3.9,3.9,3.9,3.9,3.9,3.8,3.9,3.7,3.7,3.6,3.6,3.6,3.7,3.8,3.9,3.9,3.9,3.9,3.8,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.7,3.6,3.6,3.6,3.6,3.7,3.6,3.7,3.6,3.7,3.7,3.8,3.9,3.9,4.0,4.1,4.1,4.1,4.1
20,관악구구,4.3,4.4,4.3,4.3,4.3,4.3,4.2,4.2,4.2,4.3,4.2,4.1,4.3,4.3,4.3,4.3,4.3,4.2,4.1,4.1,4.0,4.0,3.9,4.1,4.0,4.0,4.1,4.2,4.2,4.3,4.4,4.4,4.3,4.1,4.2,4.3,4.1,4.2,4.2,4.3,4.1,4.1,4.1,4.1,4.1,4.1,4.2,4.1,4.0,4.1,4.3,4.3,4.3,4.4,4.4,4.4,4.6,4.7,4.7,4.8
21,서초구구,4.0,3.9,3.9,3.9,4.0,3.9,3.9,4.0,3.9,3.9,3.9,3.9,3.9,3.9,3.9,4.0,4.0,4.0,4.0,4.0,4.0,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.8,3.8,3.8,3.8,3.8,3.7,3.7,3.7,3.7,3.8,3.8,3.9,4.0,4.0,4.1,4.1,4.0,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.0,4.0,4.0,4.1,4.1
22,강남구구,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.1,4.1,4.1,4.1,4.0,4.0,4.0,4.0,4.0,3.9,4.0,4.0,4.0,4.0,4.0,3.9,3.9,3.9,4.0,4.0,4.0,4.0,4.0,4.1,4.2,4.2,4.2,4.2,4.1,4.1,4.1,4.1,4.0,4.1,4.2,4.2,4.2,4.3,4.3,4.3,4.2,4.3,4.3,4.3,4.3
23,송파구구,3.5,3.5,3.5,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.4,3.4,3.5,3.5,3.5,3.4,3.5,3.5,3.5,3.5,3.5,3.6,3.6,3.7,3.9,4.0,4.0,4.0,4.0,4.0,3.9,3.9,3.9,3.9,3.8,3.8,3.8,3.9,3.9,3.8,3.9,3.9,3.8,3.9,3.9,4.1,4.2
24,강동구구,4.1,4.1,4.1,4.2,4.2,4.1,4.2,4.1,4.2,4.0,4.0,4.0,4.0,4.1,4.1,4.2,4.3,4.4,4.3,4.2,4.2,4.1,4.0,3.9,3.8,3.8,3.8,3.8,3.8,3.8,3.8,4.0,4.0,4.0,3.8,3.7,3.6,3.6,3.8,3.8,4.2,4.2,4.4,4.7,4.6,4.7,4.6,4.4,4.4,4.1,4.1,4.3,4.1,4.1,4.2,4.2,4.0,4.1,4.3,4.4
